#TYPE System.Management.Automation.PSCustomObject
"Time","UPN","Result"
"2022-07-12 14:10:27Z","Varonis01","OK"
"2022-07-12 14:10:27Z","Varonis02","OK"
"2022-07-12 14:10:27Z","Varonis03","OK"
"2022-07-12 14:10:28Z","Varonis04","OK"
"2022-07-12 14:10:28Z","Varonis05","OK"
"2022-07-12 14:10:28Z","Varonis06","OK"
"2022-07-12 14:10:29Z","Varonis07","OK"
"2022-07-12 14:10:29Z","Varonis08","OK"
"2022-07-12 14:10:29Z","Varonis09","OK"
"2022-07-12 14:10:30Z","Varonis10","OK"
"2022-07-12 14:10:30Z","Varonis11","OK"
"2022-07-12 14:10:30Z","Varonis12","OK"
"2022-07-12 14:10:31Z","Varonis13","OK"
"2022-07-12 14:10:31Z","Varonis14","OK"
"2022-07-12 14:10:31Z","Varonis15","OK"
"2022-07-12 14:10:32Z","Varonis16","OK"
"2022-07-12 14:10:32Z","Varonis17","OK"
"2022-07-12 14:10:32Z","Varonis18","OK"
"2022-07-12 14:10:32Z","Varonis19","OK"
"2022-07-12 14:10:33Z","Varonis20","OK"
